State,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Louisiana,43903,43103,47515,43952,45348,41806,44410,44280,52035,45154,48963,44471,46853,47391,44767,46468,46249,43848,48193,47834,50812,47231,44783,42132,44077,43689,44529
Maine,51664,51950,52516,53595,55377,52581,54279,54005,54404,53902,56762,55627,55267,53765,49585,50356,50815,53195,57356,53720,50066,54152,54251,49746,45963,50865,49051
Maryland,81084,75346,76146,78942,70943,76838,75232,72336,73513,72715,77782,77597,76141,74285,69894,77074,74296,77846,77048,75389,71322,68662,65760,64320,66905,63893,65040
Massachusetts,73227,73820,70214,65454,66135,68088,69156,68655,68000,68845,69288,67435,70485,67672,68078,68121,72523,66737,64946,63827,64199,61640,61807,66457,62089,62443,62861
Michigan,57700,58319,56083,53901,55530,53498,53390,52140,52677,56824,58511,59290,57796,54971,60152,58365,62522,64966,68022,63037,59187,61220,58366,57898,54715,55416,56530
Minnesota,71920,71728,71114,69696,65998,66098,63156,58951,64240,62687,68808,68508,68218,72986,70574,74635,73117,77440,69422,72239,65026,63976,60780,55207,56423,53207,51886
Mississippi,43441,41983,41426,36816,38571,39192,44882,42996,40175,41597,44182,42332,41366,45213,43726,42197,41861,48960,47934,43893,43538,41636,42522,41679,37174,35327,34278
Missouri,56885,56199,61249,58695,50917,53229,49998,51623,55855,52544,54523,54332,54088,54816,58468,58449,57376,64373,61076,60595,55843,53479,55800,49539,48047,46990,49153
Montana,59087,58302,53177,52965,46025,48227,43994,46511,46313,48963,51738,50098,46950,44173,45570,47598,44589,46787,45808,47596,44628,44768,44475,45340,44342,45554,43698
Nebraska,59619,60651,62571,58944,58707,55830,60748,59157,56801,57897,58279,58678,60300,56961,58751,58476,60529,59596,57007,54886,53000,53087,52762,52171,51944,51605,52010
Nevada,56550,56623,53812,51694,51233,50629,51384,57688,58908,62481,64067,63720,60660,61408,60368,61430,63016,65317,61191,59924,59358,60151,57818,58861,59995,54799,57973
New Hampshire,74801,77900,78299,76073,74003,72541,71960,75077,73450,75528,80088,75527,71702,73911,74240,75590,71244,72694,67972,67766,62633,61504,62764,57834,63596,67728,63421
New Jersey,72997,69940,70728,67622,66159,71336,68091,70947,74189,74535,71712,82948,79735,71907,74879,74561,71854,71950,73401,75103,73363,74085,70380,69378,67845,66979,70491
New Mexico,47855,49493,46684,48388,43369,46448,45856,50853,49869,48052,52569,48785,49006,51466,46902,48448,45974,50093,48075,47545,45963,39153,41646,44149,44824,44412,46714
New York,62447,62758,60017,56290,54708,51000,55309,56089,57513,57592,58007,58772,59361,58084,57167,57342,58451,58160,59019,56364,54689,55266,52921,52343,53098,53327,55961
North Carolina,50343,54920,52559,48490,46137,44446,49378,49384,47995,48997,51570,48503,52918,52346,49807,49894,52966,54695,54982,54019,54753,55564,51240,49414,48279,47694,47264
North Dakota,59886,61478,59406,62944,59046,59649,61562,57469,57351,56645,55946,50027,53089,51021,53990,49463,49678,51382,48207,45677,48369,49117,46610,46402,47103,46300,45573
Ohio,59768,55146,55150,51454,51197,47465,48768,51701,52545,53567,58190,55942,55620,56010,58145,58323,57995,61326,58281,58672,55203,53175,55986,52271,52408,53934,52434
Oklahoma,55006,52039,48710,48920,47399,51778,52927,48565,52544,52627,51218,47335,47368,51534,47967,49816,49423,46295,48236,50837,47896,42822,42158,44290,43990,43423,44816
Oregon,64610,60407,62944,61022,55497,55380,56281,57014,56232,59037,59538,57393,55564,53329,55630,57118,57284,60665,59949,58886,56903,55394,58282,51616,55512,54832,53138
Pennsylvania,63173,62290,62483,57185,57501,55518,54516,54436,55172,58666,57406,59082,58258,57378,57361,58069,60373,60204,55726,58808,57315,54468,55318,52617,51922,51320,53449
Rhode Island,66390,62851,57633,60771,60150,59969,53558,58164,59137,60765,64248,65492,62265,62359,59736,57958,63460,60234,63048,61326,53160,57726,56656,52391,56133,52264,54275
South Carolina,54971,55505,47968,46567,46014,47493,43783,46982,47073,48112,52400,48284,50621,50333,51410,51666,52375,53629,53813,50144,52343,54103,46581,48975,43643,47363,48338
South Dakota,56894,58685,56975,54987,56846,52856,51581,51099,52485,58892,55013,55365,54296,53476,52803,51749,55060,52066,52878,49419,45364,46083,47393,48789,46464,45098,43368
Tennessee,55240,52448,48971,45310,45249,45989,46181,43481,46404,45313,48823,49595,49584,49528,50133,50597,49664,48670,53902,51386,46803,48055,46491,46994,42050,41764,43040
Texas,59295,59396,58432,55839,55037,55542,53573,53255,54373,53060,54580,52781,52120,53853,52468,54859,56711,55112,57099,53936,53585,51617,51336,50466,48123,48007,48813
Utah,71319,68932,68556,65694,65356,62403,60614,63886,66990,71375,63440,66579,68970,66178,65834,65397,65707,67875,67964,66772,65348,57807,58452,58607,59948,58823,49311
Vermont,63805,62145,61557,62922,63428,59452,56648,63015,59920,57872,56165,63353,63800,61570,57799,58753,56619,56518,61373,59346,53551,50503,54196,58748,52039,56254,51316
Virginia,71293,67880,63618,68567,70370,69132,68394,68017,69292,70745,70115,69615,65322,66529,73193,67815,69731,67322,67437,65348,65626,61198,58039,61775,61032,65602,63605
Washington,75418,71822,69575,61222,65364,66517,62096,63280,69167,64634,68834,66695,63727,64944,63473,61738,58973,60702,67113,71478,68078,57242,56991,55025,59728,58220,59791
West Virginia,45392,45308,44309,40994,43905,46586,45680,48198,46373,43363,49885,46824,45858,43415,43773,40116,41184,41982,43239,40251,41994,39404,39865,38666,37559,34814,40741
Wisconsin,63451,61103,57347,60198,56382,56775,56862,56731,58682,58436,60771,63001,56182,59493,61818,62721,62937,64360,67399,62292,60490,62431,65623,58068,53214,57204,54798
Wyoming,57837,59073,63038,57721,64897,61517,59539,58816,60094,60875,57769,57332,56268,59057,56855,54332,55127,56568,54974,53133,51061,48310,50519,54380,49320,51881,51131
